,contrast,dissimilarity,homogeneity,energy,correlation,ASM
img_382.jpg,127.99790362545643,4.6409070161711,0.44774591413162046,0.21193330706268373,0.9886828633582557,0.04491572664252579
img_383.jpg,148.71447900365155,4.9930131716223265,0.4322761343226912,0.21016122407499707,0.985932272689524,0.04416774010470113
img_384.jpg,178.32621935315598,5.235922013562858,0.4308500079614388,0.2099705852682696,0.9822415846340184,0.04408764667789967
img_385.jpg,192.40319835680748,5.222218961919666,0.424476804872609,0.20974477880973288,0.9822044924183465,0.04399287223794377
img_386.jpg,227.69678208137714,5.302657146583203,0.41519091233647587,0.2093535226621522,0.9789342736478736,0.04382889745105228
img_387.jpg,221.68622522170057,5.436003521126761,0.4110466119731504,0.20934073780444043,0.9787402799864083,0.043823544504507476
img_388.jpg,235.17541079812204,5.57533255086072,0.41802843945459445,0.2092899406000185,0.9774350150468798,0.04380227923635927
img_389.jpg,253.27145279081898,5.581964006259781,0.4250995298010201,0.20922279137741553,0.9766974372587368,0.043774176431757544
img_390.jpg,252.60467201356286,5.797577595200835,0.41810664057307173,0.20916902826422124,0.9770034769225711,0.04375168238499858
img_391.jpg,215.00880933750653,5.581794470526864,0.4143164163537566,0.2093376327019129,0.9798870265504633,0.043822244465240995
img_392.jpg,210.94655386019826,5.578152712571727,0.4082009221704709,0.2091983843292143,0.9801998205012644,0.043763964005953664
img_393.jpg,245.3383965832029,5.882482394366198,0.4049745391206275,0.20926984628860412,0.9770318885324956,0.043793868565655994
img_394.jpg,250.07248630672925,6.21914123630673,0.39316280874196446,0.2089606929226355,0.9769565284318446,0.04366457118670797
img_395.jpg,233.14471830985917,6.210791601460615,0.3871022197043269,0.20892986972133287,0.977497562411422,0.04365169046177313
img_396.jpg,233.22272104851328,6.523731742305686,0.3785876832599387,0.2089175461583009,0.9773254042000371,0.043646541092805795
img_397.jpg,219.9178892801252,6.427057250912885,0.3839209422133419,0.2090833093779879,0.9794579618847606,0.04371583026045141
img_398.jpg,249.32953834115804,6.656970526864892,0.38486172113133016,0.2088718620069701,0.9769532972356073,0.04362745473825877
img_399.jpg,316.76643192488257,7.753221178925404,0.3696872719619491,0.20876539031975042,0.9706905941579795,0.04358298819535774
img_400.jpg,331.6184761345853,8.143834767866458,0.36364848336515043,0.20868781593964797,0.9701354706844478,0.04355060452166039
img_401.jpg,278.045116066771,7.359154929577464,0.3781200096604235,0.20888445170912656,0.9738100409591752,0.04363271416582243
img_402.jpg,281.36099700052165,7.341676447574335,0.3816046629251217,0.2089907210906819,0.9748442235856963,0.043677121502003195
img_403.jpg,273.19495631194576,7.0084148408972355,0.38626761611684945,0.20893415686811048,0.9744154624163075,0.043653481906188195
img_404.jpg,292.2034037558685,7.180894627021387,0.38034490725583825,0.20885096414163642,0.9723106352935115,0.043618725222891105
img_405.jpg,293.4032570422535,7.250022822117892,0.3760854705661515,0.20889855903353724,0.970457852691336,0.04363860796628824
img_406.jpg,256.58067292644756,6.882916014606156,0.3842856627568886,0.20907416447374094,0.9724633375792424,0.04371200625039288
img_407.jpg,237.3689912623891,6.369545513823683,0.401262696733767,0.20922579586443205,0.9737515699948917,0.04377543365510499
img_408.jpg,243.37264280125194,6.2133378977569125,0.42037886838295146,0.20924803249250337,0.9729770730406644,0.04378473910198375
img_409.jpg,242.563807381325,6.112470657276995,0.41980540512150655,0.20943348318534397,0.9734140747338781,0.043862383879145754
img_410.jpg,229.6045807250913,5.745940923317683,0.4378913978960184,0.20955629285791946,0.9757304455713953,0.043913839876354104
img_411.jpg,229.72351982263953,5.441360198226395,0.45227117841830533,0.21024070586000676,0.9766430891218276,0.04420115440051388
img_412.jpg,219.6853253781951,5.435918753260302,0.44772785986660707,0.21069561888000465,0.9771207064394153,0.04439264381522818
